Pytanie|label|Odpowiedź
Częstotliwość refundacji okularów|częstotliwość refundacja okularów|Uprawnieni pracownicy mogą ubiegać się o refundację kosztów zakupu okularów wyłącznie na podstawie orzeczenia lekarskiego wydanego w ramach badań profilaktycznych. Częstotliwość zakupu okularów wynika ze wskazań lekarskich opartych na badaniach okulistycznych w ramach profilaktycznej opieki zdrowotnej przeprowadzanych na podstawie skierowania wydanego przez pracodawcę.
Częstotliwość zwrotów za zakup okularów|częstotliwość refundacja okularów|Uprawnieni pracownicy mogą ubiegać się o refundację kosztów zakupu okularów wyłącznie na podstawie orzeczenia lekarskiego wydanego w ramach badań profilaktycznych. Częstotliwość zakupu okularów wynika ze wskazań lekarskich opartych na badaniach okulistycznych w ramach profilaktycznej opieki zdrowotnej przeprowadzanych na podstawie skierowania wydanego przez pracodawcę.
Czy nasza firma płaci za nadgodziny?|czy płatne nadgodziny|W pierwszej kolejności w naszej firmie praktyką jest oddawanie wolnego za pracę w nadgodzinach, jeżeli jednak takiej możliwości nie ma, za zgodą przełożonego oraz przełożonego wyższego szczebla, takie nadgodziny mogą zostać wypłacone pracownikowi.
Kasa za nadgodziny|czy płatne nadgodziny|W pierwszej kolejności w naszej firmie praktyką jest oddawanie wolnego za pracę w nadgodzinach, jeżeli jednak takiej możliwości nie ma, za zgodą przełożonego oraz przełożonego wyższego szczebla, takie nadgodziny mogą zostać wypłacone pracownikowi.
Zapłata za nadgodziny|czy płatne nadgodziny|W pierwszej kolejności w naszej firmie praktyką jest oddawanie wolnego za pracę w nadgodzinach, jeżeli jednak takiej możliwości nie ma, za zgodą przełożonego oraz przełożonego wyższego szczebla, takie nadgodziny mogą zostać wypłacone pracownikowi.
Czy dostanę pieniądze za nadgodziny?|czy płatne nadgodziny|W pierwszej kolejności w naszej firmie praktyką jest oddawanie wolnego za pracę w nadgodzinach, jeżeli jednak takiej możliwości nie ma, za zgodą przełożonego oraz przełożonego wyższego szczebla, takie nadgodziny mogą zostać wypłacone pracownikowi.
Czy nadgodziny są płatne?|czy płatne nadgodziny|W pierwszej kolejności w naszej firmie praktyką jest oddawanie wolnego za pracę w nadgodzinach, jeżeli jednak takiej możliwości nie ma, za zgodą przełożonego oraz przełożonego wyższego szczebla, takie nadgodziny mogą zostać wypłacone pracownikowi.
Płacenie za nadgodziny|czy płatne nadgodziny|W pierwszej kolejności w naszej firmie praktyką jest oddawanie wolnego za pracę w nadgodzinach, jeżeli jednak takiej możliwości nie ma, za zgodą przełożonego oraz przełożonego wyższego szczebla, takie nadgodziny mogą zostać wypłacone pracownikowi.
Czy nasza firma płaci za nadgodziny?|czy płatne nadgodziny|W pierwszej kolejności w naszej firmie praktyką jest oddawanie wolnego za pracę w nadgodzinach, jeżeli jednak takiej możliwości nie ma, za zgodą przełożonego oraz przełożonego wyższego szczebla, takie nadgodziny mogą zostać wypłacone pracownikowi.
Nadgodziny jak rozliczyc |czy płatne nadgodziny|W pierwszej kolejności w naszej firmie praktyką jest oddawanie wolnego za pracę w nadgodzinach, jeżeli jednak takiej możliwości nie ma, za zgodą przełożonego oraz przełożonego wyższego szczebla, takie nadgodziny mogą zostać wypłacone pracownikowi.
jaki dziś dzień?|data|Chyba musisz zajrzeć do kalendarza :)
Który dzisiaj mamy?|data|Chyba musisz zajrzeć do kalendarza :)
Jaki dzisiaj dzień tygodnia?|data|Chyba musisz zajrzeć do kalendarza :)
Na jak długo mogę wziąć urlop bezpłatny?|długość urlop bezpłatny|Przepisy kodeksu pracy nie określają maksymalnego czasu trwania urlopu bezpłatnego. Możemy przebywać na nim przez dwa tygodnie lub przez rok, jeśli pracodawca wyrazi na to zgodę. 
Na ile mogę iść na urlop bezpłatny?|długość urlop bezpłatny|Przepisy kodeksu pracy nie określają maksymalnego czasu trwania urlopu bezpłatnego. Możemy przebywać na nim przez dwa tygodnie lub przez rok, jeśli pracodawca wyrazi na to zgodę. 
Na jak maksymalnie długo mogę wziąć urlop bezpłatny?|długość urlop bezpłatny|Przepisy kodeksu pracy nie określają maksymalnego czasu trwania urlopu bezpłatnego. Możemy przebywać na nim przez dwa tygodnie lub przez rok, jeśli pracodawca wyrazi na to zgodę. 
Ile dni może trwać urlop bezpłatny?|długość urlop bezpłatny|Przepisy kodeksu pracy nie określają maksymalnego czasu trwania urlopu bezpłatnego. Możemy przebywać na nim przez dwa tygodnie lub przez rok, jeśli pracodawca wyrazi na to zgodę. 
Na ile dni mogę wziąć urlop bezpłatny?|długość urlop bezpłatny|Przepisy kodeksu pracy nie określają maksymalnego czasu trwania urlopu bezpłatnego. Możemy przebywać na nim przez dwa tygodnie lub przez rok, jeśli pracodawca wyrazi na to zgodę. 
Urlop bezpłatny, ile może trwać?|długość urlop bezpłatny|Przepisy kodeksu pracy nie określają maksymalnego czasu trwania urlopu bezpłatnego. Możemy przebywać na nim przez dwa tygodnie lub przez rok, jeśli pracodawca wyrazi na to zgodę. 
Urlop bezpłatny, na jak długo mogę wziąć?|długość urlop bezpłatny|Przepisy kodeksu pracy nie określają maksymalnego czasu trwania urlopu bezpłatnego. Możemy przebywać na nim przez dwa tygodnie lub przez rok, jeśli pracodawca wyrazi na to zgodę. 
Ile dni mogę przebywać na urlopie bezpłatnym?|długość urlop bezpłatny|Przepisy kodeksu pracy nie określają maksymalnego czasu trwania urlopu bezpłatnego. Możemy przebywać na nim przez dwa tygodnie lub przez rok, jeśli pracodawca wyrazi na to zgodę. 
Jak długo mogę przebywać na zwolnieniu lekarskim na dziecko?|Długość zwolnienia na dziecko|"Zasiłek opiekuńczy przysługuje przez okres zwolnienia od pracy z powodu konieczności osobistego sprawowania opieki:
-nie dłużej niż przez 60 dni w roku kalendarzowym, jeżeli opieka sprawowana jest nad chorym dzieckiem do lat 14,
-nie dłużej niż przez 14 dni w roku kalendarzowym, jeżeli opieka sprawowana jest nad dzieckiem w wieku ponad 14 lat lub innymi chorymi członkami rodziny.
Łączny okres wypłaty zasiłku opiekuńczego z powodu opieki nad dziećmi i innymi członkami rodziny nie może przekroczyć 60. dni w roku kalendarzowym."
Ile mogę zostać z chorym dzieckiem w domu?|Długość zwolnienia na dziecko|"Zasiłek opiekuńczy przysługuje przez okres zwolnienia od pracy z powodu konieczności osobistego sprawowania opieki:
-nie dłużej niż przez 60 dni w roku kalendarzowym, jeżeli opieka sprawowana jest nad chorym dzieckiem do lat 14,
-nie dłużej niż przez 14 dni w roku kalendarzowym, jeżeli opieka sprawowana jest nad dzieckiem w wieku ponad 14 lat lub innymi chorymi członkami rodziny.
Łączny okres wypłaty zasiłku opiekuńczego z powodu opieki nad dziećmi i innymi członkami rodziny nie może przekroczyć 60. dni w roku kalendarzowym."
ile można przebywać na zwolnieniu lekarskim na dziecko?|Długość zwolnienia na dziecko|"Zasiłek opiekuńczy przysługuje przez okres zwolnienia od pracy z powodu konieczności osobistego sprawowania opieki:
-nie dłużej niż przez 60 dni w roku kalendarzowym, jeżeli opieka sprawowana jest nad chorym dzieckiem do lat 14,
-nie dłużej niż przez 14 dni w roku kalendarzowym, jeżeli opieka sprawowana jest nad dzieckiem w wieku ponad 14 lat lub innymi chorymi członkami rodziny.
Łączny okres wypłaty zasiłku opiekuńczego z powodu opieki nad dziećmi i innymi członkami rodziny nie może przekroczyć 60. dni w roku kalendarzowym."
Jak długo mogę być na L4 na dziecko?|Długość zwolnienia na dziecko|"Zasiłek opiekuńczy przysługuje przez okres zwolnienia od pracy z powodu konieczności osobistego sprawowania opieki:
-nie dłużej niż przez 60 dni w roku kalendarzowym, jeżeli opieka sprawowana jest nad chorym dzieckiem do lat 14,
-nie dłużej niż przez 14 dni w roku kalendarzowym, jeżeli opieka sprawowana jest nad dzieckiem w wieku ponad 14 lat lub innymi chorymi członkami rodziny.
Łączny okres wypłaty zasiłku opiekuńczego z powodu opieki nad dziećmi i innymi członkami rodziny nie może przekroczyć 60. dni w roku kalendarzowym."
jaki jest maksymalny czas zwolnienia lekarskim na dziecko?|Długość zwolnienia na dziecko|"Zasiłek opiekuńczy przysługuje przez okres zwolnienia od pracy z powodu konieczności osobistego sprawowania opieki:
-nie dłużej niż przez 60 dni w roku kalendarzowym, jeżeli opieka sprawowana jest nad chorym dzieckiem do lat 14,
-nie dłużej niż przez 14 dni w roku kalendarzowym, jeżeli opieka sprawowana jest nad dzieckiem w wieku ponad 14 lat lub innymi chorymi członkami rodziny.
Łączny okres wypłaty zasiłku opiekuńczego z powodu opieki nad dziećmi i innymi członkami rodziny nie może przekroczyć 60. dni w roku kalendarzowym."
Ile mam czasu na skorzystanie z urlopu rodzicielskiego?|do kiedy rodzicielski|Urlop rodzicielski jest udzielany jednorazowo lub w częściach nie później niż do zakończenia roku kalendarzowego, w którym dziecko kończy 6 rok życia.
Do kiedy mogę wykorzystać rodzicielski?|do kiedy rodzicielski|Urlop rodzicielski jest udzielany jednorazowo lub w częściach nie później niż do zakończenia roku kalendarzowego, w którym dziecko kończy 6 rok życia.
Jak jest udzielany urlop rodzicielski?|do kiedy rodzicielski|Urlop rodzicielski jest udzielany jednorazowo lub w częściach nie później niż do zakończenia roku kalendarzowego, w którym dziecko kończy 6 rok życia.
do kiedy mogę skorzystać urlopu rodzicielskiego?|do kiedy rodzicielski|Urlop rodzicielski jest udzielany jednorazowo lub w częściach nie później niż do zakończenia roku kalendarzowego, w którym dziecko kończy 6 rok życia.
Ile mam czasu żeby pójść na urlop rodzicielski?|do kiedy rodzicielski|Urlop rodzicielski jest udzielany jednorazowo lub w częściach nie później niż do zakończenia roku kalendarzowego, w którym dziecko kończy 6 rok życia.
